accession	Sequence_length	Sequence_name	taxid	kingdom	phylum	class	order	family	genus	species	subspecies	strain	Nucleic Acid 	Host
KU597750.1	1593	Human rotavirus A strain RVA/Human-wt/CHN/M2-102/2014/G3P[3] nonstructural protein NSP1 (NSP1) gene, complete cds	10941	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	Human rotavirus A	Human rotavirus A	RNA	Human
KU597751.1	1059	Human rotavirus A strain RVA/Human-wt/CHN/M2-102/2014/G3P[3] nonstructural protein NSP2 (NSP2) gene, complete cds	10941	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	Human rotavirus A	Human rotavirus A	RNA	Human
KU597752.1	1069	Human rotavirus A strain RVA/Human-wt/CHN/M2-102/2014/G3P[3] nonstructural protein NSP3 (NSP3) gene, complete cds	10941	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	Human rotavirus A	Human rotavirus A	RNA	Human
KU605777.1	8126	Simian retrovirus 8 strain SRV8/SUZ/2012, complete genome	1904439	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Betaretrovirus	Simian retrovirus 8	unclassified Simian retrovirus 8 subspecies/strain	unclassified Simian retrovirus 8 strain	RNA	Animal
KU645789.1	10056	Moku virus isolate Big Island, complete genome	1906245	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Iflaviridae	Iflavirus	Moku virus	unclassified Moku virus subspecies/strain	unclassified Moku virus strain	RNA	Insect
KU646914.1	2341	Influenza A virus (A/duck/Taiwan/A3400/2015(H5N8)) segment 1 polymerase PB2 (PB2) gene, complete cds	1792808	Viruses	Negarnaviricota	Insthoviricetes	Articulavirales	Orthomyxoviridae	Alphainfluenzavirus	Influenza A virus	Influenza A virus (A/duck/Taiwan/A3400/2015(H5N8))	Influenza A virus (A/duck/Taiwan/A3400/2015(H5N8))	RNA	Animal
KU646917.1	1779	Influenza A virus (A/duck/Taiwan/A3400/2015(H5N8)) segment 4 hemagglutinin (HA) gene, complete cds	1792808	Viruses	Negarnaviricota	Insthoviricetes	Articulavirales	Orthomyxoviridae	Alphainfluenzavirus	Influenza A virus	Influenza A virus (A/duck/Taiwan/A3400/2015(H5N8))	Influenza A virus (A/duck/Taiwan/A3400/2015(H5N8))	RNA	Animal
KU646919.1	1460	Influenza A virus (A/duck/Taiwan/A3400/2015(H5N8)) segment 6 neuraminidase (NA) gene, complete cds	1792808	Viruses	Negarnaviricota	Insthoviricetes	Articulavirales	Orthomyxoviridae	Alphainfluenzavirus	Influenza A virus	Influenza A virus (A/duck/Taiwan/A3400/2015(H5N8))	Influenza A virus (A/duck/Taiwan/A3400/2015(H5N8))	RNA	Animal
KU661979.1	910	Gan Gan virus isolate 12005 segment S nucleocapsid protein gene, complete cds	1764076	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Peribunyaviridae	Orthobunyavirus	Gan Gan orthobunyavirus	Gan Gan virus	Gan Gan virus	RNA	Insect
KU661985.1	6834	Gan Gan virus isolate 12005 segment L RNA-dependent RNA polymerase gene, complete cds	1764076	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Peribunyaviridae	Orthobunyavirus	Gan Gan orthobunyavirus	Gan Gan virus	Gan Gan virus	RNA	Insect
KU661989.1	4360	Gan Gan virus isolate 12005 segment M glycoprotein precursor, gene, complete cds	1764076	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Peribunyaviridae	Orthobunyavirus	Gan Gan orthobunyavirus	Gan Gan virus	Gan Gan virus	RNA	Insect
KU672593.1	15186	UNVERIFIED: Hervey virus isolate BO6 genomic sequence	1554500	Viruses	Negarnaviricota	Monjiviricetes	Mononegavirales	Paramyxoviridae	Pararubulavirus	Hervey pararubulavirus	Hervey virus	Hervey virus	RNA	Animal
KU679928.1	1742	Influenza A virus (A/pika/Menyuan/01/2008(H9N2)) segment 4 hemagglutinin (HA) gene, complete cds	1795360	Viruses	Negarnaviricota	Insthoviricetes	Articulavirales	Orthomyxoviridae	Alphainfluenzavirus	Influenza A virus	Influenza A virus (A/pika/Menyuan/01/2008(H9N2))	Influenza A virus (A/pika/Menyuan/01/2008(H9N2))	RNA	Animal
KU679929.1	1423	Influenza A virus (A/pika/Menyuan/01/2008(H9N2)) segment 6 neuraminidase (NA) gene, complete cds	1795360	Viruses	Negarnaviricota	Insthoviricetes	Articulavirales	Orthomyxoviridae	Alphainfluenzavirus	Influenza A virus	Influenza A virus (A/pika/Menyuan/01/2008(H9N2))	Influenza A virus (A/pika/Menyuan/01/2008(H9N2))	RNA	Animal
KU679931.1	2342	Influenza A virus (A/pika/Menyuan/01/2008(H9N2)) segment 2 polymerase PB1 (PB1) and PB1-F2 protein (PB1-F2) genes, complete cds	1795360	Viruses	Negarnaviricota	Insthoviricetes	Articulavirales	Orthomyxoviridae	Alphainfluenzavirus	Influenza A virus	Influenza A virus (A/pika/Menyuan/01/2008(H9N2))	Influenza A virus (A/pika/Menyuan/01/2008(H9N2))	RNA	Animal
KU679933.1	1497	Influenza A virus (A/pika/Menyuan/01/2008(H9N2)) segment 5 nucleocapsid protein (NP) gene, complete cds	1795360	Viruses	Negarnaviricota	Insthoviricetes	Articulavirales	Orthomyxoviridae	Alphainfluenzavirus	Influenza A virus	Influenza A virus (A/pika/Menyuan/01/2008(H9N2))	Influenza A virus (A/pika/Menyuan/01/2008(H9N2))	RNA	Animal
KU685592.1	8894	HIV-1 isolate EUR-0033 from Spain gag protein (gag) gene, complete cds; pol protein (pol) gene, partial cds; and vif protein (vif), vpr protein (vpr), tat protein (tat), rev protein (rev), vpu protein (vpu), envelope glycoprotein (env), and nef protein (nef) genes, complete cds	11676	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Lentivirus	Human immunodeficiency virus 1	unclassified Human immunodeficiency virus 1 subspecies/strain	unclassified Human immunodeficiency virus 1 strain	RNA	#VALUE!
KU707902.1	7394	Enterovirus B83 isolate 246/YN/CHN/08, complete genome	318566	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Enterovirus B	Enterovirus B83	Enterovirus B83	RNA	Human
KU708255.1	1588	Bourbon virus strain Original envelope glycoprotein gene, complete cds	1618189	Viruses	Negarnaviricota	Insthoviricetes	Articulavirales	Orthomyxoviridae	Thogotovirus	Thogotovirus bourbonense	Bourbon virus	Bourbon virus	RNA	Human
KU708256.1	1062	Rotavirus A strain RVA/roe deer-wt/SLO/D38-14/2014/G6P[15] VP7 gene, complete cds	28875	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	unclassified Rotavirus A subspecies/strain	unclassified Rotavirus A strain	RNA	Animal
KU708257.1	2362	Rotavirus A strain RVA/roe deer-wt/SLO/D38-14/2014/G6P[15] VP4 gene, complete cds	28875	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	unclassified Rotavirus A subspecies/strain	unclassified Rotavirus A strain	RNA	Animal
KU708259.1	3302	Rotavirus A strain RVA/roe deer-wt/SLO/D38-14/2014/G6P[15] VP1 gene, complete cds	28875	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	unclassified Rotavirus A subspecies/strain	unclassified Rotavirus A strain	RNA	Animal
KU708262.1	1578	Rotavirus A strain RVA/roe deer-wt/SLO/D38-14/2014/G6P[15] NSP1 gene, complete cds	28875	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	unclassified Rotavirus A subspecies/strain	unclassified Rotavirus A strain	RNA	Animal
KU708263.1	1059	Rotavirus A strain RVA/roe deer-wt/SLO/D38-14/2014/G6P[15] NSP2 gene, complete cds	28875	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	unclassified Rotavirus A subspecies/strain	unclassified Rotavirus A strain	RNA	Animal
KU708264.1	1074	Rotavirus A strain RVA/roe deer-wt/SLO/D38-14/2014/G6P[15] NSP3 gene, complete cds	28875	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	unclassified Rotavirus A subspecies/strain	unclassified Rotavirus A strain	RNA	Animal
KU708265.1	751	Rotavirus A strain RVA/roe deer-wt/SLO/D38-14/2014/G6P[15] NSP4 gene, complete cds	28875	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	unclassified Rotavirus A subspecies/strain	unclassified Rotavirus A strain	RNA	Animal
KU714445.1	2717	Rotavirus A strain RVA/Human-wt/MWI/MW2-181_A/2000/G1P[8] segment 2, complete sequence	28875	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	unclassified Rotavirus A subspecies/strain	unclassified Rotavirus A strain	RNA	Human
KU714448.1	1356	Rotavirus A strain RVA/Human-wt/MWI/MW2-181_A/2000/G1P[8] segment 6, complete sequence	28875	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	unclassified Rotavirus A subspecies/strain	unclassified Rotavirus A strain	RNA	Human
KU714449.1	1062	Rotavirus A strain RVA/Human-wt/MWI/MW2-181_A/2000/G1P[8] segment 9, complete sequence	28875	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	unclassified Rotavirus A subspecies/strain	unclassified Rotavirus A strain	RNA	Human
KU714450.1	1586	Rotavirus A strain RVA/Human-wt/MWI/MW2-181_B/2000/G1P[8] segment 5, complete sequence	28875	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	unclassified Rotavirus A subspecies/strain	unclassified Rotavirus A strain	RNA	Human
KU714451.1	1058	UNVERIFIED: Rotavirus A strain RVA/Human-wt/MWI/MW2-181_B/2000/G1P[8] segment 8, complete sequence	28875	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	unclassified Rotavirus A subspecies/strain	unclassified Rotavirus A strain	RNA	Human
KU714457.1	2591	Rotavirus A strain RVA/Human-wt/MWI/MW2-181_B/2000/G1P[8] segment 3, complete sequence	28875	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	unclassified Rotavirus A subspecies/strain	unclassified Rotavirus A strain	RNA	Human
KU714458.1	2361	Rotavirus A strain RVA/Human-wt/MWI/MW2-181_B/2000/G1P[8] segment 4, complete sequence	28875	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	unclassified Rotavirus A subspecies/strain	unclassified Rotavirus A strain	RNA	Human
KU714460.1	1062	Rotavirus A strain RVA/Human-wt/MWI/MW2-181_B/2000/G1P[8] segment 9, complete sequence	28875	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	unclassified Rotavirus A subspecies/strain	unclassified Rotavirus A strain	RNA	Human
KU720625.1	15702	Dolphin morbillivirus isolate 631IMMS031711, complete genome	37131	Viruses	Negarnaviricota	Monjiviricetes	Mononegavirales	Paramyxoviridae	Morbillivirus	Cetacean morbillivirus	Dolphin morbillivirus	Dolphin morbillivirus	RNA	Animal
KU720628.1	7470	Bovine retrovirus CH15 putative group-specific antigen, putative protease, putative viral DNA polymerase, and putative envelope protein genes, complete cds	1822365	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Betaretrovirus	Bovine retrovirus CH15	unclassified Bovine retrovirus CH15 subspecies/strain	unclassified Bovine retrovirus CH15 strain	RNA	Animal
KU724110.1	3873	Parry's Lagoon virus isolate K71551 segment 1 VP1 gene, complete cds	1853202	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Parry's Lagoon virus	unclassified Parry's Lagoon virus subspecies/strain	unclassified Parry's Lagoon virus strain	RNA	Insect
KU724111.1	2850	Parry's Lagoon virus isolate K71551 segment 2 VP2 gene, complete cds	1853202	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Parry's Lagoon virus	unclassified Parry's Lagoon virus subspecies/strain	unclassified Parry's Lagoon virus strain	RNA	Insect
KU724112.1	2217	Parry's Lagoon virus isolate K71551 segment 3 VP3 gene, complete cds	1853202	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Parry's Lagoon virus	unclassified Parry's Lagoon virus subspecies/strain	unclassified Parry's Lagoon virus strain	RNA	Insect
KU724113.1	1770	Parry's Lagoon virus isolate K71551 segment 4 NS1 gene, complete cds	1853202	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Parry's Lagoon virus	unclassified Parry's Lagoon virus subspecies/strain	unclassified Parry's Lagoon virus strain	RNA	Insect
KU724114.1	1584	Parry's Lagoon virus isolate K71551 segment 5 VP5 gene, complete cds	1853202	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Parry's Lagoon virus	unclassified Parry's Lagoon virus subspecies/strain	unclassified Parry's Lagoon virus strain	RNA	Insect
KU724115.1	1932	Parry's Lagoon virus isolate K71551 segment 6 VP4 gene, complete cds	1853202	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Parry's Lagoon virus	unclassified Parry's Lagoon virus subspecies/strain	unclassified Parry's Lagoon virus strain	RNA	Insect
KU724116.1	1116	Parry's Lagoon virus isolate K71551 segment 7 NS2 gene, complete cds	1853202	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Parry's Lagoon virus	unclassified Parry's Lagoon virus subspecies/strain	unclassified Parry's Lagoon virus strain	RNA	Insect
KU724117.1	1065	Parry's Lagoon virus isolate K71551 segment 8 VP7 gene, complete cds	1853202	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Parry's Lagoon virus	unclassified Parry's Lagoon virus subspecies/strain	unclassified Parry's Lagoon virus strain	RNA	Insect
KU724118.1	1035	Parry's Lagoon virus isolate K71551 segment 9 VP6/NS4 gene, complete cds	1853202	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Parry's Lagoon virus	unclassified Parry's Lagoon virus subspecies/strain	unclassified Parry's Lagoon virus strain	RNA	Insect
KU724119.1	717	Parry's Lagoon virus isolate K71551 segment 10 NS3/NS3a gene, complete cds	1853202	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Parry's Lagoon virus	unclassified Parry's Lagoon virus subspecies/strain	unclassified Parry's Lagoon virus strain	RNA	Insect
KU727766.1	5166	Parus major densovirus isolate PmDNV-JL, complete genome	1907771	Viruses	Cossaviricota	Quintoviricetes	Piccovirales	Parvoviridae	unclassified Parvoviridae genus	Parus major densovirus	unclassified Parus major densovirus subspecies/strain	unclassified Parus major densovirus strain	DNA	Animal
KU749309.1	203453	Raccoonpox virus strain 85A, complete genome	10256	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Orthopoxvirus	Raccoonpox virus	unclassified Raccoonpox virus subspecies/strain	unclassified Raccoonpox virus strain	DNA	Animal
KU749310.1	222832	Skunkpox virus strain WA, complete genome	160796	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Orthopoxvirus	Skunkpox virus	unclassified Skunkpox virus subspecies/strain	unclassified Skunkpox virus strain	DNA	Animal
KU749311.1	217124	Volepox virus strain CA, complete genome	28874	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Orthopoxvirus	Volepox virus	unclassified Volepox virus subspecies/strain	unclassified Volepox virus strain	DNA	Animal
KU749393.1	9195	HIV-1 isolate DEMC11BR035 from Brazil, partial genome	11676	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Lentivirus	Human immunodeficiency virus 1	unclassified Human immunodeficiency virus 1 subspecies/strain	unclassified Human immunodeficiency virus 1 strain	RNA	Human
KU749396.1	9221	HIV-1 isolate DEMF111BR037 from Brazil, partial genome	11676	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Lentivirus	Human immunodeficiency virus 1	unclassified Human immunodeficiency virus 1 subspecies/strain	unclassified Human immunodeficiency virus 1 strain	RNA	Human
KU749402.1	9836	HIV-1 isolate DEMA112UA014 from Ukraine, partial genome	11676	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Lentivirus	Human immunodeficiency virus 1	unclassified Human immunodeficiency virus 1 subspecies/strain	unclassified Human immunodeficiency virus 1 strain	RNA	Human
KU749409.1	9193	HIV-1 isolate DEMA114PK001 from Pakistan, partial genome	11676	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Lentivirus	Human immunodeficiency virus 1	unclassified Human immunodeficiency virus 1 subspecies/strain	unclassified Human immunodeficiency virus 1 strain	RNA	Human
KU749412.1	9188	HIV-1 isolate DEMC14PK009 from Pakistan, partial genome	11676	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Lentivirus	Human immunodeficiency virus 1	unclassified Human immunodeficiency virus 1 subspecies/strain	unclassified Human immunodeficiency virus 1 strain	RNA	Human
KU749417.1	9094	HIV-1 isolate DEMC13ZA152 from South Africa, partial genome	11676	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Lentivirus	Human immunodeficiency virus 1	unclassified Human immunodeficiency virus 1 subspecies/strain	unclassified Human immunodeficiency virus 1 strain	RNA	Human
KU749422.1	9277	HIV-1 isolate DEURF11CM026 from Cameroon, partial genome	11676	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Lentivirus	Human immunodeficiency virus 1	unclassified Human immunodeficiency virus 1 subspecies/strain	unclassified Human immunodeficiency virus 1 strain	RNA	Human
KU754026.1	3950	Tibet orbivirus strain DH13C120 segment 1, complete sequence	1428763	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Tibet orbivirus	unclassified Tibet orbivirus subspecies/strain	unclassified Tibet orbivirus strain	RNA	Insect
KU754027.1	2901	Tibet orbivirus strain DH13C120 segment 2, complete sequence	1428763	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Tibet orbivirus	unclassified Tibet orbivirus subspecies/strain	unclassified Tibet orbivirus strain	RNA	Insect
KU754028.1	2769	Tibet orbivirus strain DH13C120 segment 3, complete sequence	1428763	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Tibet orbivirus	unclassified Tibet orbivirus subspecies/strain	unclassified Tibet orbivirus strain	RNA	Insect
KU754030.1	1775	Tibet orbivirus strain DH13C120 segment 5, complete sequence	1428763	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Tibet orbivirus	unclassified Tibet orbivirus subspecies/strain	unclassified Tibet orbivirus strain	RNA	Insect
KU754032.1	1165	Tibet orbivirus strain DH13C120 segment 7, complete sequence	1428763	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Tibet orbivirus	unclassified Tibet orbivirus subspecies/strain	unclassified Tibet orbivirus strain	RNA	Insect
KU754035.1	832	Tibet orbivirus strain DH13C120 segment 10, complete sequence	1428763	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Tibet orbivirus	unclassified Tibet orbivirus subspecies/strain	unclassified Tibet orbivirus strain	RNA	Insect
KU754531.1	3912	Soudat virus segment 3 putative major core protein gene, complete cds	1807814	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Reoviridae	unclassified Reoviridae genus	Soudat virus	unclassified Soudat virus subspecies/strain	unclassified Soudat virus strain	RNA	Insect
KU762338.1	30161	Rousettus bat coronavirus isolate GCCDC1 356, complete genome	1892416	Viruses	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus	Rousettus bat coronavirus GCCDC1	Rousettus bat coronavirus	Rousettus bat coronavirus	RNA	Animal
KU762361.1	1465	Influenza A virus (A/duck/Guizhou/013/2014(H6N6)) segment 6 neuraminidase (NA) gene, complete cds	1807719	Viruses	Negarnaviricota	Insthoviricetes	Articulavirales	Orthomyxoviridae	Alphainfluenzavirus	Influenza A virus	Influenza A virus (A/duck/Guizhou/013/2014(H6N6))	Influenza A virus (A/duck/Guizhou/013/2014(H6N6))	RNA	Animal
KU820847.1	8319	HIV-1 isolate mSSDU94 from Myanmar gag protein (gag) and pol protein (pol) genes, partial cds; vif protein (vif), vpr protein (vpr), tat protein (tat), rev protein (rev), vpu protein (vpu), and envelope glycoprotein (env) genes, complete cds; and nef protein (nef) gene, partial cds	11676	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Lentivirus	Human immunodeficiency virus 1	unclassified Human immunodeficiency virus 1 subspecies/strain	unclassified Human immunodeficiency virus 1 strain	RNA	#VALUE!
KU820849.1	8376	HIV-1 isolate fKSDU26 from Myanmar gag protein (gag) and pol protein (pol) genes, partial cds; vif protein (vif), vpr protein (vpr), tat protein (tat), rev protein (rev), vpu protein (vpu), and envelope glycoprotein (env) genes, complete cds; and nef protein (nef) gene, partial cds	11676	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Lentivirus	Human immunodeficiency virus 1	unclassified Human immunodeficiency virus 1 subspecies/strain	unclassified Human immunodeficiency virus 1 strain	RNA	#VALUE!
